Variable,VariableDescription,Country,Year,PercentageValue
PUBADVTR,Tertiary treatment,Australia,2019,18.46
INDEPDTR,Population connected to independent treatment,Denmark,2016,13.42
PUBMECTR,Primary treatment,Japan,2019,18.88
PUBADVTR,Tertiary treatment,Germany,2014,27.7
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Norway,2012,39.75
PUBADVTR,Tertiary treatment,Turkey,2013,55.72
PUBADVTR,Tertiary treatment,Greece,2013,68.67
PUBMECTR,Primary treatment,Greece,2017,6.2
OTHERTR,Unspecified (other) treatment ,Norway,2019,57.37
PUBBIOTR,Secondary treatment,Hungary,2010,7.82
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovenia,2011,72.66
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Luxembourg,2014,61.73
PUBNOTR,Connected to a wastewater treatment plant without treatment,Norway,2011,1.37
PUBBIOTR,Secondary treatment,Poland,2017,43.33
OTHERTR,Unspecified (other) treatment ,Turkey,2011,11.37
OTHERTR,Unspecified (other) treatment ,New Zealand,2011,0.05
PUBBIOTR,Secondary treatment,United States,2013,24.05
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),New Zealand,2010,54.79
PUBADVTR,Tertiary treatment,Denmark,2014,8.89
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Slovak Republic,2013,27.65
PUBBIOTR,Secondary treatment,Belgium,2012,41.92
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Slovak Republic,2014,64.74
OTHERTR,Unspecified (other) treatment ,Portugal,2017,57.75
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Portugal,2014,68.21
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Germany,2016,16.15
PUBMECTR,Primary treatment,Greece,2012,73.64
PUBBIOTR,Secondary treatment,Switzerland,2015,54.94
PUBBIOTR,Secondary treatment,Germany,2018,32.95
PUBBIOTR,Secondary treatment,Chile,2013,69.94
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Finland,2013,48.65
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Switzerland,2014,14.77
PUBMECTR,Primary treatment,Denmark,2010,20.11
PUBADVTR,Tertiary treatment,Spain,2011,39.3
OTHERTR,Unspecified (other) treatment ,Iceland,2016,58.86
PUBMECTR,Primary treatment,Hungary,2018,66.89
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Sweden,2014,9.99
OTHERTR,Unspecified (other) treatment ,Mexico,2015,60.06
OTHERTR,Unspecified (other) treatment ,England and Wales,2015,4.71
PUBMECTR,Primary treatment,Japan,2010,16.45
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Israel,2014,10.97
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Netherlands,2019,48.7
PUBBIOTR,Secondary treatment,Slovenia,2010,6.09
PUBBIOTR,Secondary treatment,Canada,2011,1.91
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Latvia,2017,51.51
